id;left;satisfaction_level;last_evaluation;average_montly_hours;time_spend_company;Work_accident;promotion_last_5years;salary;num_project;depto
45;1;0,29;0,89;276;4;0;0;low;6;technical
46;1;0,84;0,74;182;4;0;0;low;3;technical
47;1;0,4;0,55;147;3;0;0;low;2;support
48;1;0,57;0,7;273;6;0;0;low;3;support
49;1;0,4;0,54;148;3;0;0;low;2;support
50;1;0,43;0,47;147;3;0;0;low;2;support
51;1;0,13;0,78;152;2;0;0;low;6;support
52;1;0,44;0,55;135;3;0;0;low;2;support
53;1;0,38;0,55;134;3;0;0;low;2;support
54;1;0,39;0,54;132;3;0;0;low;2;support
55;1;0,1;0,92;307;4;0;0;low;6;support
56;1;0,37;0,46;140;3;0;0;low;2;support
57;1;0,11;0,94;255;4;0;0;low;6;support
58;1;0,1;0,81;309;4;0;0;low;6;technical
59;1;0,38;0,54;128;3;0;0;low;2;technical
60;1;0,85;1;225;5;0;0;low;4;technical
61;1;0,85;0,91;226;5;0;0;medium;5;management
62;1;0,11;0,93;808;4;0;0;medium;6;IT
63;1;0,1;0,95;244;5;0;0;medium;6;IT
64;1;0,36;0,56;132;3;0;0;medium;2;IT
65;1;0,11;0,94;286;4;0;0;medium;6;IT
66;1;0,81;0,7;161;4;0;0;medium;6;IT
67;1;0,43;0,54;153;3;0;0;medium;2;product_mng
68;1;0,9;0,98;264;6;0;0;medium;4;product_mng
69;1;0,76;0,86;223;5;1;0;medium;5;product_mng
70;1;0,43;0,5;135;3;0;0;medium;2;product_mng
71;1;0,74;0,99;277;3;0;0;medium;2;IT
72;1;0,59;0,77;275;4;0;0;medium;5;product_mng
73;1;0,45;0,49;149;3;0;0;high;2;product_mng
74;1;0,39;0,87;295;4;0;0;low;6;product_mng
75;1;0,11;0,97;277;4;0;0;medium;6;product_mng
76;1;0,11;0,79;306;4;0;0;medium;6;product_mng
77;1;0,1;0,83;295;4;0;0;medium;6;product_mng
78;1;0,4;0,54;137;3;0;0;medium;2;marketing
79;1;0,43;0,56;157;3;0;0;low;2;sales
80;1;0,39;0,56;142;3;0;0;low;2;accounting
81;1;0,45;0,54;140;3;0;0;low;2;support
82;1;0,38;0,49;151;3;0;0;low;2;technical
83;1;0,79;0,59;139;3;0;1;low;4;management
84;1;0,84;0,85;249;6;0;0;low;4;marketing
85;1;0,11;0,77;291;4;0;0;low;6;marketing
86;1;0,11;0,87;305;4;0;0;low;6;marketing
87;1;0,17;0,84;232;3;0;0;low;5;sales
88;1;0,44;0,45;132;3;0;0;low;2;sales
89;1;0,37;0,57;130;3;0;0;low;2;sales
90;1;0,1;0,79;291;4;0;0;low;6;sales
91;1;0,4;0,5;130;3;0;0;low;2;sales
92;1;0,89;1;246;5;0;0;low;5;sales
93;1;0,42;0,48;143;3;0;0;low;2;sales
94;1;0,46;0,55;129;3;0;0;low;2;sales
95;1;0,49;0,83;255;4;0;0;low;6;sales
96;1;0,37;0,51;155;3;0;0;low;2;sales
97;1;0,1;0,77;265;4;0;0;low;6;sales
98;1;0,1;0,84;279;4;0;0;low;6;sales
99;1;0,11;0,97;284;4;0;0;low;6;sales
100;1;0,9;1;221;6;0;0;medium;5;sales
101;1;0,38;0,52;154;3;0;0;medium;2;sales
102;1;0,36;0,52;147;3;0;0;medium;2;sales
103;1;0,42;0,46;150;3;0;0;medium;2;sales
104;1;0,39;0,94;267;4;0;0;medium;6;sales
105;1;0,43;0,52;158;3;0;0;medium;2;sales
106;1;0,24;0,46;224;5;0;0;medium;6;accounting
107;1;0,91;1;257;5;0;0;medium;4;accounting
108;1;0,44;0,5;148;3;0;0;medium;2;accounting
109;1;0,71;0,87;177;4;0;0;medium;3;hr
110;1;0,4;0,49;155;3;0;0;medium;2;hr
111;1;0,43;0,47;144;3;0;0;medium;2;hr
112;1;0,29;0,85;289;4;0;0;high;6;hr
113;1;0,43;0,52;160;3;0;0;low;2;technical
114;1;0,9;0,96;258;5;0;0;medium;4;technical
115;1;0,84;1;234;5;0;0;medium;5;technical
116;1;0,37;0,48;137;3;0;0;medium;2;technical
117;1;0,86;0,68;263;2;0;0;medium;5;technical
118;1;0,11;0,84;251;4;0;0;low;6;technical
119;1;0,37;0,57;133;3;0;0;low;2;technical
120;1;0,4;0,46;132;3;0;0;low;2;technical
121;1;0,14;0,62;158;4;1;0;low;4;technical
122;1;0,4;0,46;135;3;0;0;low;2;technical
123;1;0,75;1;216;6;0;0;low;4;technical
124;1;0,11;0,84;300;5;1;0;low;6;support
125;1;0,46;0,49;138;3;0;0;low;2;support
126;1;0,11;0,92;260;4;0;0;low;6;support
127;1;0,38;0,49;132;3;0;0;low;2;support
128;1;0,7;0,89;183;5;0;0;low;3;support
129;1;0,39;0,82;250;4;0;0;low;6;support
130;1;0,37;0,45;151;3;0;0;low;2;support
131;1;0,1;0,83;292;4;0;0;low;6;support
132;1;0,38;0,57;140;3;0;0;low;2;support
133;1;0,9;1;221;5;0;0;low;5;support
134;1;0,44;0,51;138;3;0;0;low;2;support
135;1;0,36;0,5;132;3;0;0;low;2;technical
136;1;0,31;0,84;133;5;0;0;low;6;technical
137;1;0,1;0,84;283;4;1;0;low;6;technical
138;1;0,42;0,48;129;3;0;0;low;2;management
139;1;0,74;1;249;5;0;0;low;4;IT
140;1;0,73;0,87;257;5;0;0;low;5;IT
141;1;0,19;0,96;245;4;0;0;low;6;IT
142;1;0,45;0,53;155;3;0;0;low;2;IT
143;1;0,11;0,8;256;4;0;0;low;6;IT
144;1;0,37;0,47;152;3;0;0;low;2;product_mng
145;1;0,84;0,99;267;5;0;0;low;4;product_mng
146;1;0,41;0,46;151;3;0;0;low;2;product_mng
147;1;0,76;0,92;239;5;0;0;low;4;product_mng
148;1;0,11;0,87;306;4;0;0;low;6;IT
149;1;0,84;0,88;263;5;1;0;low;4;marketing
150;1;0,39;0,5;147;3;0;0;low;2;marketing
151;1;0,11;0,91;278;4;0;0;low;6;marketing
152;1;0,45;0,56;154;3;0;0;low;2;marketing
153;1;0,37;0,52;143;3;0;0;low;2;marketing
154;1;0,4;0,52;155;3;0;0;low;2;marketing
155;1;0,39;0,48;160;3;0;0;low;2;sales
156;1;0,11;0,8;304;4;0;0;low;6;accounting
157;1;0,83;1;240;5;0;0;low;5;support
158;1;0,11;0,92;305;4;0;0;low;6;technical
159;1;0,39;0,5;136;3;0;0;low;2;management
160;1;0,45;0,45;132;3;0;0;low;2;marketing
161;1;0,1;0,95;301;4;0;0;low;6;marketing
162;1;0,9;0,98;243;6;0;0;low;5;marketing
163;1;0,45;0,51;147;3;0;0;low;2;sales
164;1;0,79;0,89;239;5;0;0;low;5;sales
165;1;0,9;0,99;260;5;0;0;low;5;sales
166;1;0,11;0,84;296;4;0;0;low;6;sales
167;1;0,43;0,55;129;3;0;0;low;2;sales
168;1;0,31;0,54;132;5;0;0;low;5;sales
169;1;0,32;0,5;135;5;0;0;low;2;sales
170;1;0,45;0,57;158;3;0;0;low;2;sales
171;1;0,81;0,99;259;5;0;0;low;4;sales
172;1;0,41;0,46;160;3;0;1;low;2;sales
173;1;0,11;0,78;278;4;0;0;low;6;sales
174;1;0,1;0,88;284;4;0;0;low;6;sales
175;1;0,7;0,53;274;4;0;0;low;2;sales
176;1;0,54;0,74;164;2;0;0;low;4;sales
177;1;0,41;0,48;148;3;0;0;low;2;sales
178;1;0,38;0,5;140;3;0;0;medium;2;sales
179;1;0,37;0,51;127;3;0;0;medium;2;sales
180;1;0,11;0,85;308;5;0;0;medium;6;sales
181;1;0,4;0,47;146;3;0;0;medium;2;sales
182;1;0,1;0,84;261;4;0;0;medium;6;accounting
183;1;0,89;0,99;257;5;0;0;medium;5;accounting
184;1;0,11;0,8;285;4;0;0;medium;6;accounting
185;1;0,36;0,55;141;3;0;0;medium;2;hr
186;1;0,4;0,46;127;3;0;0;medium;2;hr
187;1;0,29;0,85;297;4;0;0;medium;6;hr
188;1;0,4;0,46;143;3;0;0;medium;2;hr
189;1;0,37;0,55;152;3;0;0;medium;2;technical
190;1;0,44;0,51;156;3;0;0;high;2;technical
191;1;0,59;0,8;283;5;0;0;low;6;technical
192;1;0,92;0,87;226;6;1;0;medium;4;technical
193;1;0,74;0,91;232;5;0;0;medium;4;technical
194;1;0,39;0,82;249;4;0;0;medium;6;technical
195;1;0,89;0,95;275;5;0;0;medium;4;technical
196;1;0,49;0,8;304;4;0;0;low;6;technical
197;1;0,27;0,54;278;3;0;0;low;6;technical
198;1;0,1;0,91;287;4;0;0;low;6;technical
199;1;0,1;0,89;285;4;0;0;low;6;technical
200;1;0,77;0,94;226;6;0;0;low;5;support
201;1;0,9;0,82;259;5;0;0;low;5;support
202;1;0,39;0,5;135;3;0;0;low;2;support
203;1;0,76;1;219;5;0;0;low;5;support
204;1;0,1;0,93;256;4;0;0;low;6;support
205;1;0,87;0,9;254;6;0;0;low;5;support
206;1;0,38;0,5;153;3;0;0;low;2;support
207;1;0,77;0,99;228;5;0;0;low;5;support
208;1;0,78;0,87;228;5;0;0;low;4;support
209;1;0,44;0,5;128;3;0;0;low;2;support
210;1;0,38;0,52;153;3;0;0;low;2;support
211;1;0,43;0,46;156;3;0;0;low;2;technical
212;1;0,39;0,5;294;3;0;0;low;4;technical
213;1;0,88;1;219;5;0;0;low;5;technical
214;1;0,45;0,46;153;3;0;0;low;2;management
215;1;0,4;0,53;151;3;0;0;low;2;IT
216;1;0,36;0,51;155;3;0;0;low;2;IT
217;1;0,36;0,48;158;3;0;0;low;2;IT
218;1;0,9;0,98;245;5;0;0;low;5;IT
219;1;0,43;0,53;131;3;0;0;low;2;IT
220;1;0,89;0,87;225;5;0;0;low;5;product_mng
221;1;0,1;0,84;286;4;0;0;low;6;product_mng
222;1;0,37;0,5;135;3;0;0;low;2;product_mng
223;1;0,37;0,51;153;3;0;0;low;2;product_mng
224;1;0,87;0,9;252;5;0;0;low;5;IT
225;1;0,4;0,56;149;3;0;0;low;2;accounting
226;1;0,9;0,97;258;5;0;0;low;4;accounting
227;1;0,37;0,46;158;3;0;0;low;2;hr
228;1;0,44;0,54;149;3;0;0;low;2;hr
229;1;0,85;0,95;236;5;0;0;low;5;hr
230;1;0,78;0,98;239;6;0;0;low;5;marketing
231;1;0,42;0,47;159;3;0;0;low;2;marketing
232;1;0,92;0,99;255;6;0;0;low;5;sales
233;1;0,11;0,83;244;4;0;0;low;6;accounting
234;1;0,42;0,56;134;3;0;0;low;2;support
235;1;0,48;0,57;270;4;0;0;low;4;technical
236;1;0,83;0,85;255;5;0;0;low;4;management
237;1;0,4;0,53;151;3;0;0;low;2;marketing
238;1;0,43;0,45;135;3;0;0;low;2;marketing
239;1;0,43;0,53;146;3;0;0;low;2;marketing
240;1;0,1;0,97;254;4;0;0;low;6;sales
241;1;0,1;0,87;289;4;0;0;low;6;sales
242;1;0,37;0,46;156;3;0;0;low;2;sales
243;1;0,38;0,53;156;3;0;0;low;2;sales
244;1;0,4;0,5;128;3;0;0;low;2;sales
245;1;0,89;0,86;275;5;0;0;low;5;sales
246;1;0,45;0,46;155;3;0;0;low;2;sales
247;1;0,37;0,48;159;3;0;0;low;2;sales
248;1;0,46;0,49;148;3;0;0;low;2;sales
249;1;0,87;0,91;228;5;0;0;low;4;sales
250;1;0,11;0,84;298;4;0;0;low;6;sales
251;1;0,79;0,87;261;5;0;0;low;5;sales
252;1;0,79;0,92;254;6;0;0;low;5;sales
253;1;0,19;0,59;192;3;0;0;low;6;sales
254;1;0,87;0,98;248;5;0;0;low;4;sales
255;1;0,6;0,92;258;5;0;0;low;2;sales
256;1;0,44;0,45;156;3;0;0;medium;2;sales
257;1;0,11;0,81;266;4;1;0;medium;6;sales
258;1;0,42;0,54;156;3;0;0;medium;2;sales
259;1;0,88;0,88;232;5;1;0;medium;5;accounting
260;1;0,11;0,84;287;4;0;0;medium;6;accounting
261;1;0,46;0,46;154;3;0;0;medium;2;accounting
262;1;0,82;0,97;263;5;0;0;medium;5;hr
263;1;0,44;0,56;131;3;0;0;medium;2;hr
264;1;0,11;0,78;260;4;0;0;medium;6;hr
265;1;0,42;0,5;139;3;0;0;medium;2;hr
266;1;0,84;0,93;251;5;0;0;medium;4;technical
267;1;0,11;0,95;286;4;0;0;medium;6;technical
268;1;0,45;0,53;129;3;0;0;high;2;technical
269;1;0,38;0,56;156;3;0;0;low;2;technical
270;1;0,38;0,86;139;6;0;0;medium;6;technical
271;1;0,44;0,51;127;3;0;0;medium;2;technical
272;1;0,11;0,84;251;4;0;0;medium;6;technical
273;1;0,81;0,93;270;5;0;0;medium;5;technical
274;1;0,39;0,96;296;4;0;0;low;6;technical
275;1;0,11;0,9;254;4;0;0;low;6;technical
276;1;0,81;0,95;238;6;0;0;low;5;technical
277;1;0,1;0,97;267;4;1;0;low;6;support
278;1;0,74;0,89;229;6;0;0;low;5;support
279;1;0,29;0,78;254;4;0;0;low;6;support
280;1;0,82;0,81;233;4;1;0;low;4;support
281;1;0,1;0,98;268;4;0;0;low;6;support
282;1;0,27;0,56;301;3;0;0;low;3;support
283;1;0,83;0,92;267;6;0;0;low;5;support
284;1;0,1;0,93;289;4;1;0;low;6;support
285;1;0,38;0,47;144;3;0;0;low;2;support
286;1;0,4;0,56;148;3;0;0;low;2;support
287;1;0,11;0,83;306;4;0;0;low;6;support
288;1;0,11;0,79;292;4;0;1;low;6;technical
289;1;0,82;0,91;232;5;0;0;low;5;technical
290;1;0,36;0,48;137;3;0;0;low;2;technical
291;1;0,4;0,46;128;3;0;0;low;2;management
292;1;0,87;0,84;231;5;0;0;low;5;IT
293;1;0,41;0,49;146;3;0;0;low;2;IT
294;1;0,11;0,91;808;4;1;0;low;6;IT
295;1;0,1;0,93;253;4;0;0;medium;6;IT
296;1;0,38;0,51;146;3;0;0;medium;2;IT
297;1;0,39;0,55;156;3;0;0;medium;2;product_mng
298;1;0,4;0,52;147;3;0;0;medium;2;product_mng
299;1;0,45;0,48;136;3;0;0;medium;2;product_mng
300;1;0,74;0,84;249;5;0;0;medium;5;product_mng
301;1;0,45;0,55;151;3;0;0;medium;2;IT
302;1;0,12;1;278;4;0;0;medium;3;RandD
303;1;0,1;0,77;250;5;0;0;medium;6;RandD
304;1;0,37;0,55;127;3;0;0;medium;2;RandD
305;1;0,89;0,87;255;5;0;0;medium;5;RandD
306;1;0,45;0,47;135;3;0;0;medium;2;RandD
307;1;0,37;0,46;149;3;0;0;high;2;marketing
308;1;0,11;0,81;287;4;0;0;low;5;sales
309;1;0,41;0,48;145;3;0;0;medium;2;accounting
310;1;0,1;0,94;285;4;0;0;medium;6;support
311;1;0,1;0,93;305;4;0;0;medium;6;technical
312;1;0,11;0,95;300;4;0;0;medium;6;management
313;1;0,4;0,54;139;3;0;0;low;2;marketing
314;1;0,41;0,49;130;3;0;0;low;2;marketing
315;1;0,1;0,81;268;4;0;0;low;6;marketing
316;1;0,73;0,86;245;6;0;0;low;4;sales
317;1;0,43;0,47;135;3;0;0;low;2;sales
318;1;0,37;0,46;153;3;0;0;low;2;sales
319;1;0,11;0,94;276;4;0;0;low;6;sales
320;1;0,4;0,46;130;3;0;0;low;2;sales
321;1;0,41;0,54;153;3;1;0;low;2;sales
322;1;0,82;0,84;244;5;0;0;low;5;sales
323;1;0,61;0,47;253;3;0;0;low;2;sales
324;1;0,11;0,91;287;4;0;0;low;6;sales
325;1;0,37;0,45;131;3;0;0;low;2;sales
326;1;0,41;0,52;135;3;0;0;low;2;sales
327;1;0,37;0,52;157;3;0;0;low;2;sales
328;1;0,88;0,99;262;6;0;0;low;5;sales
329;1;0,1;0,85;266;4;0;0;low;6;sales
330;1;0,44;0,48;148;3;0;0;low;2;sales
331;1;0,38;0,57;140;3;0;0;low;2;sales
332;1;0,11;0,85;302;4;0;0;low;6;sales
333;1;0,39;0,98;271;4;0;0;low;6;sales
334;1;0,45;0,52;145;3;0;0;medium;2;sales
335;1;0,1;0,81;290;4;0;0;medium;6;accounting
336;1;0,45;0,47;151;3;0;0;medium;2;accounting
337;1;0,77;0,87;266;5;0;0;medium;5;accounting
338;1;0,44;0,51;140;3;0;0;medium;2;hr
339;1;0,39;0,5;142;3;0;0;medium;2;hr
340;1;0,1;0,91;246;4;0;0;medium;6;hr
341;1;0,19;0,89;308;5;0;0;medium;6;hr
342;1;0,37;0,47;141;3;0;0;medium;2;technical
343;1;0,9;1;232;5;0;0;medium;5;technical
344;1;0,41;0,56;143;3;0;0;medium;2;technical
345;1;0,37;0,52;155;3;0;0;medium;2;technical
346;1;0,1;0,86;278;4;0;0;high;6;technical
347;1;0,81;1;253;5;0;0;low;4;technical
348;1;0,11;0,8;282;4;0;0;medium;6;technical
349;1;0,11;0,84;264;4;0;0;medium;6;technical
350;1;0,4;0,46;149;3;0;0;medium;2;technical
351;1;0,29;0,8;304;5;0;0;medium;6;technical
352;1;0,48;0,93;219;6;0;0;low;3;technical
353;1;0,91;0,91;262;6;0;0;low;4;support
354;1;0,43;0,57;135;3;0;0;low;2;support
355;1;0,33;0,88;219;5;0;0;low;6;support
356;1;0,41;0,57;136;3;0;0;low;2;support
357;1;0,41;0,55;154;3;0;0;low;2;support
358;1;0,37;0,54;149;3;0;0;low;2;support
359;1;0,31;0,62;135;5;0;0;low;6;support
360;1;0,59;0,91;275;4;0;0;low;6;support
361;1;0,1;0,87;290;4;0;0;low;6;support
362;1;0,76;0,9;263;5;0;0;low;4;support
363;1;0,41;0,54;145;3;0;0;low;2;support
364;1;0,72;0,96;267;5;0;0;low;5;technical
365;1;0,4;0,5;141;3;1;0;low;2;technical
366;1;0,91;0,87;235;5;0;0;low;4;technical
367;1;0,1;0,83;258;4;0;0;low;6;management
368;1;0,4;0,56;131;3;0;0;low;2;IT
369;1;0,82;0,86;243;5;0;0;low;5;IT
370;1;0,1;0,82;266;4;0;0;low;6;IT
371;1;0,37;0,45;142;3;0;0;low;2;IT
372;1;0,36;0,51;135;3;0;0;low;2;IT
373;1;0,39;0,48;141;3;0;0;medium;2;product_mng
374;1;0,36;0,57;142;3;0;0;medium;2;product_mng
375;1;0,86;0,84;254;5;0;0;medium;5;product_mng
376;1;0,73;0,99;262;5;0;0;medium;5;product_mng
377;1;0,56;0,71;296;2;0;0;medium;4;IT
378;1;0,44;0,56;158;3;0;0;medium;2;accounting
379;1;0,31;0,56;238;2;0;0;medium;4;accounting
380;1;0,77;0,93;231;5;0;0;medium;4;hr
381;1;0,44;0,45;156;3;0;0;medium;2;hr
382;1;0,38;0,46;145;3;0;0;medium;2;hr
383;1;0,45;0,48;144;3;0;0;medium;2;marketing
384;1;0,38;0,51;159;3;0;0;medium;2;sales
385;1;0,36;0,48;156;3;0;0;high;2;accounting
386;1;0,75;0,9;256;5;0;0;low;5;support
387;1;0,1;0,93;298;4;0;0;medium;6;technical
388;1;0,1;0,97;247;4;0;0;medium;6;management
389;1;0,45;0,5;157;3;0;0;medium;2;marketing
390;1;0,42;0,57;154;3;1;0;medium;2;marketing
391;1;0,78;1;253;5;0;0;low;4;marketing
392;1;0,45;0,55;148;3;0;0;low;2;sales
393;1;0,84;1;261;5;0;0;low;4;sales
394;1;0,11;0,93;282;4;0;0;low;6;sales
395;1;0,42;0,56;133;3;0;0;low;2;sales
396;1;0,45;0,46;128;3;0;0;low;2;sales
397;1;0,46;0,57;139;3;0;0;low;2;sales
398;1;0,39;0,79;293;5;0;0;low;6;sales
399;1;0,87;0,83;265;6;0;0;low;4;sales
400;1;0,1;0,87;250;4;0;0;low;6;sales
401;1;0,91;1;251;6;0;0;low;5;sales
402;1;0,76;0,92;246;5;0;0;low;4;sales
403;1;0,74;1;275;5;0;0;low;5;sales
404;1;0,92;0,93;240;5;0;0;low;5;sales
405;1;0,76;0,87;245;5;0;0;low;5;sales
406;1;0,47;0,5;254;4;0;0;low;4;sales
407;1;0,73;0,99;241;5;0;0;low;5;sales
408;1;0,49;0,94;257;4;0;0;low;6;sales
409;1;0,91;0,92;246;5;0;0;low;4;sales
410;1;0,82;0,98;233;5;0;0;low;4;sales
411;1;0,28;0,45;218;4;0;0;low;6;accounting
412;1;0,84;0,99;262;6;0;0;medium;4;accounting
413;1;0,45;0,53;138;3;0;0;medium;2;accounting
414;1;0,45;0,54;142;3;0;0;medium;2;hr
415;1;0,91;0,97;233;5;0;0;medium;5;hr
416;1;0,42;0,48;155;3;0;0;medium;2;hr
417;1;0,82;1;229;6;0;0;medium;4;hr
418;1;0,11;0,9;264;4;0;0;medium;6;technical
419;1;0,42;0,53;199;4;0;0;medium;3;technical
420;1;0,82;0,85;223;5;0;0;medium;4;technical
421;1;0,39;0,96;268;4;0;0;medium;6;technical
422;1;0,1;0,94;287;4;0;0;medium;6;technical
423;1;0,86;1;257;5;0;0;medium;5;technical
424;1;0,4;0,46;143;3;0;0;high;2;technical
425;1;0,45;0,46;130;3;0;0;low;2;technical
426;1;0,42;0,51;136;3;0;0;medium;2;technical
427;1;0,74;0,92;261;5;0;0;medium;4;technical
428;1;0,55;0,6;180;4;0;0;medium;3;technical
429;1;0,37;0,45;126;3;0;0;medium;2;support
430;1;0,41;0,52;127;3;1;0;low;2;support
431;1;0,89;0,65;195;6;0;0;low;5;support
432;1;0,41;0,57;160;3;0;0;low;2;support
433;1;0,44;0,51;150;3;0;0;low;2;support
434;1;0,87;0,84;264;6;0;0;low;4;support
435;1;0,1;0,84;309;4;0;0;low;6;support
436;1;0,41;0,47;135;3;0;0;low;2;support
437;1;0,11;0,85;261;4;0;0;low;6;support
438;1;0,43;0,53;160;3;0;0;low;2;support
439;1;0,77;0,9;237;5;0;0;low;4;support
440;1;0,41;0,52;136;3;0;0;low;2;technical
441;1;0,41;0,48;139;3;0;0;low;2;technical
442;1;0,36;0,78;151;4;0;0;low;2;technical
443;1;0,77;1;229;5;0;0;low;5;management
444;1;0,81;0,98;245;5;0;0;low;5;IT
445;1;0,39;0,54;127;3;0;0;low;2;IT
446;1;0,29;0,94;283;5;0;0;low;6;IT
447;1;0,44;0,46;143;3;0;0;low;2;IT
448;1;0,1;0,84;298;4;0;0;low;5;IT
449;1;0,36;0,48;159;3;0;0;low;2;product_mng
450;1;0,81;0,92;239;5;0;0;low;5;product_mng
451;1;0,81;0,9;226;5;0;0;medium;4;product_mng
452;1;0,85;0,98;248;5;0;0;medium;5;product_mng
453;1;0,1;0,87;286;4;0;0;medium;6;IT
454;1;0,37;0,54;145;3;0;0;medium;2;RandD
455;1;0,39;0,97;254;4;1;0;medium;6;RandD
456;1;0,44;0,53;127;3;0;0;medium;2;RandD
457;1;0,86;0,93;223;5;0;0;medium;5;RandD
458;1;0,77;1;255;5;0;0;medium;4;RandD
459;1;0,41;0,48;136;3;0;0;medium;2;marketing
460;1;0,4;0,48;137;3;0;0;medium;2;sales
461;1;0,43;0,49;135;3;0;0;medium;2;accounting
462;1;0,43;0,5;137;3;0;0;medium;2;support
463;1;0,8;0,53;255;5;0;0;high;3;technical
464;1;0,8;0,85;273;5;0;0;low;4;management
465;1;0,82;0,98;234;5;0;0;medium;5;marketing
466;1;0,37;0,54;152;3;0;0;medium;2;marketing
467;1;0,37;0,48;134;3;0;0;medium;2;marketing
468;1;0,19;0,95;292;4;0;0;medium;6;sales
469;1;0,9;0,92;245;5;0;0;low;5;sales
470;1;0,41;0,52;159;3;0;0;low;2;sales
471;1;0,1;0,85;260;4;0;0;low;6;sales
472;1;0,44;0,53;149;3;0;0;low;2;sales
473;1;0,89;0,85;266;5;0;0;low;5;sales
474;1;0,42;0,56;149;3;0;0;low;2;sales
475;1;0,87;1;242;5;0;0;low;5;sales
476;1;0,45;0,57;134;3;0;0;low;2;sales
477;1;0,11;0,87;271;4;0;0;low;5;sales
478;1;0,29;0,79;275;4;0;0;low;6;sales
479;1;0,76;0,83;227;5;0;0;low;5;sales
480;1;0,11;0,96;277;5;0;0;low;6;sales
481;1;0,37;0,49;151;3;0;0;low;2;sales
482;1;0,1;0,79;274;4;0;0;low;6;sales
483;1;0,77;0,87;242;6;0;0;low;4;sales
484;1;0,42;0,54;143;3;1;0;low;2;sales
485;1;0,38;0,52;145;3;0;0;low;2;sales
486;1;0,32;0,95;172;2;0;0;low;5;sales
487;1;0,38;0,49;135;3;0;0;low;2;accounting
488;1;0,19;1;192;4;0;0;low;4;accounting
489;1;0,1;0,83;276;4;0;0;low;6;accounting
490;1;0,76;0,88;206;4;0;0;medium;4;hr
491;1;0,53;0,56;281;6;0;0;medium;4;hr
492;1;0,39;0,51;151;3;0;0;medium;2;hr
493;1;0,11;0,83;244;4;0;0;medium;6;hr
494;1;0,1;0,94;309;4;0;0;medium;6;technical
495;1;0,84;1;218;5;0;0;medium;5;technical
496;1;0,82;0,99;263;6;0;0;medium;4;technical
497;1;0,1;0,82;244;4;0;0;medium;6;technical
498;1;0,59;0,49;263;4;0;0;medium;6;technical
499;1;0,44;0,48;143;3;0;0;medium;2;technical
500;1;0,89;0,95;181;5;0;0;medium;2;technical
501;1;0,91;0,84;265;5;0;0;medium;5;technical
502;1;0,66;0,57;161;5;0;0;high;5;technical
503;1;0,11;0,87;282;5;0;0;low;6;technical
504;1;0,43;0,51;155;3;0;0;medium;2;technical
505;1;0,78;0,83;217;6;0;0;medium;4;support
506;1;0,11;0,97;289;5;0;0;medium;6;support
507;1;0,83;0,98;259;5;0;0;medium;4;support
508;1;0,39;0,54;158;3;0;0;low;2;support
